real.type	FS	HS	UR	rep	par	loci	sim	total	pFS	pHS	pUR
HS	0	2404	0	57	10	100	Parents = 10 & Loci = 100	2404	0	1	0
UR	0	0	6362	57	10	100	Parents = 10 & Loci = 100	6362	0	0	1
FS	956	0	0	58	10	100	Parents = 10 & Loci = 100	956	1	0	0
HS	0	3344	0	58	10	100	Parents = 10 & Loci = 100	3344	0	1	0
UR	0	0	5600	58	10	100	Parents = 10 & Loci = 100	5600	0	0	1
FS	1630	0	0	59	10	100	Parents = 10 & Loci = 100	1630	1	0	0
HS	0	2200	0	59	10	100	Parents = 10 & Loci = 100	2200	0	1	0
UR	0	0	6070	59	10	100	Parents = 10 & Loci = 100	6070	0	0	1
FS	1248	0	0	5	10	100	Parents = 10 & Loci = 100	1248	1	0	0
HS	0	2246	0	5	10	100	Parents = 10 & Loci = 100	2246	0	1	0
UR	0	0	6406	5	10	100	Parents = 10 & Loci = 100	6406	0	0	1
FS	890	0	0	60	10	100	Parents = 10 & Loci = 100	890	1	0	0
HS	0	2600	0	60	10	100	Parents = 10 & Loci = 100	2600	0	1	0
UR	0	0	6410	60	10	100	Parents = 10 & Loci = 100	6410	0	0	1
FS	1642	0	0	61	10	100	Parents = 10 & Loci = 100	1642	1	0	0
HS	0	2882	0	61	10	100	Parents = 10 & Loci = 100	2882	0	1	0
UR	0	0	5376	61	10	100	Parents = 10 & Loci = 100	5376	0	0	1
FS	960	0	0	62	10	100	Parents = 10 & Loci = 100	960	1	0	0
HS	0	3248	0	62	10	100	Parents = 10 & Loci = 100	3248	0	1	0
UR	0	0	5692	62	10	100	Parents = 10 & Loci = 100	5692	0	0	1
FS	1160	0	0	63	10	100	Parents = 10 & Loci = 100	1160	1	0	0
HS	0	3002	0	63	10	100	Parents = 10 & Loci = 100	3002	0	1	0
UR	0	0	5738	63	10	100	Parents = 10 & Loci = 100	5738	0	0	1
FS	1468	14	0	64	10	100	Parents = 10 & Loci = 100	1482	0.991	0.009	0
HS	0	604	1180	64	10	100	Parents = 10 & Loci = 100	1784	0	0.339	0.661
UR	0	0	6634	64	10	100	Parents = 10 & Loci = 100	6634	0	0	1
FS	1290	0	0	65	10	100	Parents = 10 & Loci = 100	1290	1	0	0
HS	0	1830	0	65	10	100	Parents = 10 & Loci = 100	1830	0	1	0
UR	0	0	6780	65	10	100	Parents = 10 & Loci = 100	6780	0	0	1
FS	1470	0	0	66	10	100	Parents = 10 & Loci = 100	1470	1	0	0
HS	0	1598	0	66	10	100	Parents = 10 & Loci = 100	1598	0	1	0
UR	0	0	6832	66	10	100	Parents = 10 & Loci = 100	6832	0	0	1
FS	1816	0	0	67	10	100	Parents = 10 & Loci = 100	1816	1	0	0
HS	0	1620	0	67	10	100	Parents = 10 & Loci = 100	1620	0	1	0
UR	0	0	6464	67	10	100	Parents = 10 & Loci = 100	6464	0	0	1
FS	1674	0	0	68	10	100	Parents = 10 & Loci = 100	1674	1	0	0
HS	0	1278	336	68	10	100	Parents = 10 & Loci = 100	1614	0	0.792	0.208
UR	0	0	6612	68	10	100	Parents = 10 & Loci = 100	6612	0	0	1
