real.type	FS	HS	UR	sim
UR	0	0	5476	conf.mat.80
FS	1134	0	0	conf.mat.81
HS	0	2672	0	conf.mat.81
UR	0	0	6094	conf.mat.81
FS	1362	0	0	conf.mat.82
HS	0	1956	0	conf.mat.82
UR	0	0	6582	conf.mat.82
FS	1754	0	0	conf.mat.83
HS	0	1812	0	conf.mat.83
UR	0	0	6334	conf.mat.83
FS	1012	0	0	conf.mat.84
HS	0	3268	0	conf.mat.84
UR	0	0	5620	conf.mat.84
FS	1446	0	0	conf.mat.85
HS	0	1784	74	conf.mat.85
UR	0	0	6596	conf.mat.85
FS	1318	0	0	conf.mat.86
HS	0	2762	0	conf.mat.86
UR	0	0	5820	conf.mat.86
FS	1822	0	0	conf.mat.87
HS	0	1304	0	conf.mat.87
UR	0	0	6774	conf.mat.87
FS	934	0	0	conf.mat.88
HS	0	3072	0	conf.mat.88
UR	0	0	5894	conf.mat.88
FS	904	0	0	conf.mat.89
HS	0	3030	0	conf.mat.89
UR	0	0	5966	conf.mat.89
FS	1286	0	0	conf.mat.9
HS	0	2370	0	conf.mat.9
UR	0	0	6244	conf.mat.9
FS	1174	0	0	conf.mat.90
HS	0	2800	0	conf.mat.90
UR	0	0	5926	conf.mat.90
FS	924	0	0	conf.mat.91
HS	0	3748	0	conf.mat.91
UR	0	0	5228	conf.mat.91
FS	828	0	0	conf.mat.92
HS	0	3484	0	conf.mat.92
UR	0	0	5588	conf.mat.92
FS	1440	0	0	conf.mat.93
HS	0	2380	0	conf.mat.93
UR	0	0	6080	conf.mat.93
FS	1106	0	0	conf.mat.94
HS	0	2714	0	conf.mat.94
UR	0	0	6080	conf.mat.94
FS	986	0	0	conf.mat.95
HS	0	2752	0	conf.mat.95
UR	0	0	6162	conf.mat.95
FS	920	0	0	conf.mat.96
HS	0	2918	0	conf.mat.96
UR	0	0	6062	conf.mat.96
FS	902	0	0	conf.mat.97
HS	0	3276	0	conf.mat.97
UR	0	0	5722	conf.mat.97
FS	982	0	0	conf.mat.98
HS	0	2604	0	conf.mat.98
UR	0	0	6314	conf.mat.98
FS	1212	0	0	conf.mat.99
HS	0	2140	0	conf.mat.99
UR	0	0	6548	conf.mat.99
