real.type	FS	HS	UR	sim
HS	4	286	56	conf.mat.colony2_sim_67.Dat
UR	2	80	9348	conf.mat.colony2_sim_67.Dat
FS	156	14	0	conf.mat.colony2_sim_69.Dat
HS	0	282	30	conf.mat.colony2_sim_69.Dat
UR	0	54	9364	conf.mat.colony2_sim_69.Dat
FS	102	18	0	conf.mat.colony2_sim_6.Dat
HS	4	220	64	conf.mat.colony2_sim_6.Dat
UR	2	130	9360	conf.mat.colony2_sim_6.Dat
FS	102	6	0	conf.mat.colony2_sim_70.Dat
HS	0	280	34	conf.mat.colony2_sim_70.Dat
UR	0	76	9402	conf.mat.colony2_sim_70.Dat
FS	102	10	0	conf.mat.colony2_sim_71.Dat
HS	0	256	126	conf.mat.colony2_sim_71.Dat
UR	0	114	9292	conf.mat.colony2_sim_71.Dat
FS	114	26	0	conf.mat.colony2_sim_72.Dat
HS	4	196	62	conf.mat.colony2_sim_72.Dat
UR	0	126	9372	conf.mat.colony2_sim_72.Dat
FS	56	20	4	conf.mat.colony2_sim_73.Dat
HS	4	174	126	conf.mat.colony2_sim_73.Dat
UR	0	126	9390	conf.mat.colony2_sim_73.Dat
FS	90	26	0	conf.mat.colony2_sim_74.Dat
HS	8	288	28	conf.mat.colony2_sim_74.Dat
UR	0	80	9380	conf.mat.colony2_sim_74.Dat
FS	130	16	0	conf.mat.colony2_sim_75.Dat
HS	0	150	56	conf.mat.colony2_sim_75.Dat
UR	0	88	9460	conf.mat.colony2_sim_75.Dat
FS	126	12	0	conf.mat.colony2_sim_76.Dat
HS	4	260	46	conf.mat.colony2_sim_76.Dat
UR	0	164	9288	conf.mat.colony2_sim_76.Dat
FS	164	14	4	conf.mat.colony2_sim_77.Dat
HS	0	224	80	conf.mat.colony2_sim_77.Dat
UR	2	102	9310	conf.mat.colony2_sim_77.Dat
FS	94	16	2	conf.mat.colony2_sim_78.Dat
HS	2	168	80	conf.mat.colony2_sim_78.Dat
UR	0	144	9394	conf.mat.colony2_sim_78.Dat
FS	146	12	0	conf.mat.colony2_sim_79.Dat
HS	2	218	56	conf.mat.colony2_sim_79.Dat
UR	0	72	9394	conf.mat.colony2_sim_79.Dat
FS	54	20	0	conf.mat.colony2_sim_7.Dat
HS	0	238	74	conf.mat.colony2_sim_7.Dat
UR	0	84	9430	conf.mat.colony2_sim_7.Dat
FS	132	12	4	conf.mat.colony2_sim_80.Dat
HS	2	196	100	conf.mat.colony2_sim_80.Dat
UR	0	138	9316	conf.mat.colony2_sim_80.Dat
FS	118	14	0	conf.mat.colony2_sim_81.Dat
HS	0	272	30	conf.mat.colony2_sim_81.Dat
UR	0	88	9378	conf.mat.colony2_sim_81.Dat
FS	66	38	6	conf.mat.colony2_sim_82.Dat
HS	0	174	102	conf.mat.colony2_sim_82.Dat
UR	0	132	9382	conf.mat.colony2_sim_82.Dat
FS	114	26	0	conf.mat.colony2_sim_83.Dat
HS	6	154	64	conf.mat.colony2_sim_83.Dat
UR	0	116	9420	conf.mat.colony2_sim_83.Dat
FS	84	16	0	conf.mat.colony2_sim_84.Dat
HS	0	188	88	conf.mat.colony2_sim_84.Dat
UR	2	156	9366	conf.mat.colony2_sim_84.Dat
FS	76	14	0	conf.mat.colony2_sim_85.Dat
HS	0	232	70	conf.mat.colony2_sim_85.Dat
UR	0	124	9384	conf.mat.colony2_sim_85.Dat
FS	126	8	0	conf.mat.colony2_sim_86.Dat
HS	2	252	88	conf.mat.colony2_sim_86.Dat
UR	4	142	9278	conf.mat.colony2_sim_86.Dat
FS	102	6	0	conf.mat.colony2_sim_87.Dat
HS	2	282	106	conf.mat.colony2_sim_87.Dat
UR	0	64	9338	conf.mat.colony2_sim_87.Dat
FS	120	16	2	conf.mat.colony2_sim_88.Dat
HS	10	186	56	conf.mat.colony2_sim_88.Dat
UR	2	82	9426	conf.mat.colony2_sim_88.Dat
FS	100	12	0	conf.mat.colony2_sim_89.Dat
HS	2	334	40	conf.mat.colony2_sim_89.Dat
UR	0	90	9322	conf.mat.colony2_sim_89.Dat
FS	168	14	0	conf.mat.colony2_sim_8.Dat
HS	0	220	90	conf.mat.colony2_sim_8.Dat
UR	0	150	9258	conf.mat.colony2_sim_8.Dat
FS	78	4	0	conf.mat.colony2_sim_90.Dat
HS	0	264	106	conf.mat.colony2_sim_90.Dat
UR	0	96	9352	conf.mat.colony2_sim_90.Dat
FS	116	24	0	conf.mat.colony2_sim_91.Dat
HS	0	228	34	conf.mat.colony2_sim_91.Dat
UR	2	80	9416	conf.mat.colony2_sim_91.Dat
FS	82	22	2	conf.mat.colony2_sim_92.Dat
HS	8	244	102	conf.mat.colony2_sim_92.Dat
UR	0	116	9324	conf.mat.colony2_sim_92.Dat
FS	112	6	0	conf.mat.colony2_sim_93.Dat
HS	2	198	86	conf.mat.colony2_sim_93.Dat
UR	4	120	9372	conf.mat.colony2_sim_93.Dat
FS	90	24	0	conf.mat.colony2_sim_94.Dat
HS	2	222	62	conf.mat.colony2_sim_94.Dat
UR	2	132	9366	conf.mat.colony2_sim_94.Dat
FS	182	16	0	conf.mat.colony2_sim_95.Dat
HS	0	192	68	conf.mat.colony2_sim_95.Dat
UR	2	110	9330	conf.mat.colony2_sim_95.Dat
FS	96	16	2	conf.mat.colony2_sim_96.Dat
HS	0	284	44	conf.mat.colony2_sim_96.Dat
UR	0	110	9348	conf.mat.colony2_sim_96.Dat
FS	108	16	0	conf.mat.colony2_sim_97.Dat
HS	2	198	38	conf.mat.colony2_sim_97.Dat
UR	0	100	9438	conf.mat.colony2_sim_97.Dat
FS	98	8	0	conf.mat.colony2_sim_98.Dat
HS	8	332	84	conf.mat.colony2_sim_98.Dat
UR	0	78	9292	conf.mat.colony2_sim_98.Dat
FS	150	8	0	conf.mat.colony2_sim_99.Dat
HS	0	282	26	conf.mat.colony2_sim_99.Dat
UR	0	56	9378	conf.mat.colony2_sim_99.Dat
FS	88	16	2	conf.mat.colony2_sim_9.Dat
HS	16	188	60	conf.mat.colony2_sim_9.Dat
UR	2	110	9418	conf.mat.colony2_sim_9.Dat
